INDEX,SHIP_NAME,SPEED,SHOOT_RANDOM_DEGREES,ROTATION_SPEED,MAX_HP,MAX_SHIELD,DETECTION_RADIUS,SHOOT_SPEED,SHOOT_MULTIPLIER,PLAYER_SPEED_OVERRIDE,PLAYER_ROTATION_OVERRIDE,IS_PLAYABLE,CARGO_SIZE
0,La_Sirena,60,3,70,100,50,1250,1,1,750,150,,1
1,Groumall_Freighter,60,3,70,100,50,1250,1,1,750,150,,1
2,Monaveen,60,3,70,100,50,1250,1,1,750,150,,1
3,Risian_Luxury_Cruiser,60,3,70,100,50,1250,1,1,750,150,,1
4,Brel_Class,60,3,70,100,50,1250,1,1,750,150,,1
5,Dderidex_Class,60,3,70,100,50,1250,1,1,750,150,,1
6,Engle_Class,60,3,70,100,50,1250,1,1,750,150,,1
7,Reliant_Class,60,3,70,100,50,1250,1,1,750,150,,1
8,Ross_Class,60,3,70,100,50,1250,1,1,750,150,,1
9,Akira_Class,60,3,70,100,50,1250,1,1,750,150,,1
10,Ambassador_Class,60,3,70,100,50,1250,1,1,750,150,,1
11,Excelsior_II_Class,60,3,70,100,50,1250,1,1,750,150,,1
12,Hoover_Class,60,3,70,100,50,1250,1,1,750,150,,1
13,Nebula_Class,60,3,70,100,50,1250,1,1,750,150,,1
14,Theta_Class,60,3,70,100,50,1250,1,1,750,150,,1
15,Tellarite_Cruiser,60,3,70,100,50,1250,1,1,750,150,,1
16,Magee_Class,60,3,70,100,50,1250,1,1,750,150,,1
17,bortaS_bIr_Class,60,3,70,100,50,1250,1,1,750,150,,1
18,Dia_Vectau_Class,60,3,70,100,50,1250,1,1,750,150,,1
19,Hernandez_Class,60,3,70,100,50,1250,1,1,750,150,,1
20,Excelsior_Class_Refit,60,3,70,100,50,1250,1,1,750,150,,1
21,Luna_Class,60,3,70,100,50,1250,1,1,750,150,,1
22,Edison_Class,60,3,70,100,50,1250,1,1,750,150,,1
23,Constellation_Class,60,3,70,100,50,1250,1,1,750,150,,1
24,Sagan_Class,60,3,70,100,50,1250,1,1,750,150,,1
25,Sutherland_Class,60,3,70,100,50,1250,1,1,750,150,,1
26,Nebula_Class_Phoenix_variant,60,3,70,100,50,1250,1,1,750,150,,1
27,Maquis_Raider,60,3,70,100,50,1250,1,1,750,150,,1
28,Odyssey_Class,60,3,70,100,50,1250,1,1,750,150,,1
29,chargh_Class,60,3,70,100,50,1250,1,1,750,150,,1
30,Wallenberg_Class,60,3,70,100,50,1250,1,1,750,150,,1
31,Tvaro_Class,60,3,70,100,50,1250,1,1,750,150,,1
32,Dhailkhina_Class,60,3,70,100,50,1250,1,1,750,150,,1
33,Sampson_Class,60,3,70,100,50,1250,1,1,750,150,,1
34,Excelsior_Class,60,3,70,100,50,1250,1,1,750,150,,1
35,Kobayashi_Maru,60,3,70,100,50,1250,1,1,750,150,,1
36,Shepard_Class,60,3,70,100,50,1250,1,1,750,150,,1
37,Norway_Class,60,3,70,100,50,1250,1,1,750,150,,1
38,California_Class,60,3,70,100,50,1250,1,1,750,150,,1
39,Galaxy_Class_Venture_variant,60,3,70,100,50,1250,1,1,750,150,,1
40,Springfield_Class,60,3,70,100,50,1250,1,1,750,150,,1
41,Peregrine_Class,60,3,70,100,50,1250,1,1,750,150,,1
42,D5_Class,60,3,70,100,50,1250,1,1,750,150,,1
43,Risian_Corvette,60,3,70,100,50,1250,1,1,750,150,,1
44,Breen_Interceptor,60,3,70,100,50,1250,1,1,750,150,,1
45,Bajoran_Interceptor,60,3,70,100,50,1250,1,1,750,150,,1
46,Oberth_Class,60,3,70,100,50,1250,1,1,750,150,,1
47,Cardenas_Class,60,3,70,100,50,1250,1,1,750,150,,1
48,Vesta_Class,60,3,70,100,50,1250,1,1,750,150,,1
49,Miranda_Class_Antares_variant,60,3,70,100,50,1250,1,1,750,150,,1
50,Challenger_Class,60,3,70,100,50,1250,1,1,750,150,,1
51,Constitution_II_Class,60,3,70,100,50,1250,1,1,750,150,,1
52,Constitution_III_Class,60,3,70,100,50,1250,1,1,750,150,,1
53,Galaxy_Class,60,3,70,100,50,1250,1,1,750,150,,1
54,DKora_Marauder,60,3,70,100,50,1250,1,1,750,150,,1
55,Hideki_Class,60,3,70,100,50,1250,1,1,750,150,,1
56,Qugh_Class,60,3,70,100,50,1250,1,1,750,150,,1
57,Hiawatha_Class,60,3,70,100,50,1250,1,1,750,150,,1
58,Mars_Synth_Defense_Ship,60,3,70,100,50,1250,1,1,750,150,,1
59,Mogai_Class,60,3,70,100,50,1250,1,1,750,150,,1
60,Intrepid_Class_Aeroshuttle,60,3,70,100,50,1250,1,1,750,150,,1
61,Gagarin_Class,60,3,70,100,50,1250,1,1,750,150,,1
62,Saber_Class,60,3,70,100,50,1250,1,1,750,150,,1
63,Miranda_Class_Saratoga_variant,60,3,70,100,50,1250,1,1,750,150,,1
64,Parliament_Class,60,3,70,100,50,1250,1,1,750,150,,1
65,Georgiou_Class,60,3,70,100,50,1250,1,1,750,150,,1
66,Defiant_Class,60,3,70,100,50,1250,1,1,750,150,,1
